dice_liver,iou_liver,bf1_liver,accuracy_liver,dice_tumor,iou_tumor,bf1_tumor,accuracy_tumor,dice_whole,iou_whole,bf1_whole,accuracy_whole,subject_id
0.9575176985367633,0.9184977981822505,0.8440724101698919,0.998258113861084,8.718395739159585e-09,8.718395739159585e-09,0.0,0.9999316334724426,0.9584606208200706,0.9202346449693392,0.8470308073630155,0.998293936252594,liver_54
0.9120558095587218,0.8383295922461879,0.6052332048618692,0.9838239550590515,0.041220199993418,0.021043815154162183,0.024437717148723677,0.9877386689186096,0.9362201475060999,0.8800882488154022,0.6844048759853034,0.9874529838562012,liver_35
0.8612150500204204,0.7562578431002427,0.5706628985980889,0.9967236518859863,0.016692986653072443,0.008416744748824513,0.0023828435265894933,0.9997401833534241,0.8608510882708609,0.7556967130576949,0.5866628446296301,0.9966782927513123,liver_49
0.8962435331850994,0.8119939136329669,0.5673403836014358,0.9928562641143799,0.7219093590871857,0.5648342425751217,0.24657266496150096,0.9952406287193298,0.9477951632891148,0.9007705821354526,0.6354939520009739,0.9955121874809265,1A
0.9563196028449805,0.9162954535246223,0.8022948393753495,0.9976714849472046,0.830495804265191,0.7101263999945755,0.44583525077554925,0.999040424823761,0.9590038581397542,0.9212367073972277,0.804762604038848,0.9975824952125549,liver_64
0.8983683839243349,0.8154889264405695,0.6378603789002096,0.994916558265686,0.6428497756921479,0.47367621079230937,0.1900625527977138,0.9966976642608643,0.9461005575809809,0.8977142595411396,0.7306040583737784,0.9968056678771973,2A
0.9629627017436851,0.928570942784469,0.8734828228007463,0.998121976852417,0.0353798227327802,0.018008484978723677,0.13773937647897116,0.9999447464942932,0.9623363951577272,0.9274069078532023,0.8683801103256089,0.9980880618095398,liver_126
0.9441658317408013,0.8942368604136133,0.751532363921072,0.9951338171958923,0.1985869957613251,0.11023957055219771,0.10744093576669676,0.9980054497718811,0.9647902869759516,0.9319756903729818,0.7983536699550149,0.996843695640564,liver_30
0.745096149636098,0.5937476002029942,0.5014026547209043,0.9791889190673828,0.6097839808603659,0.4386253448910214,0.10277090303719769,0.9832153916358948,0.9530795084034913,0.9103647469451233,0.6893975059119443,0.9941510558128357,8A
0.9509534315115864,0.9064930576750525,0.7883566849105662,0.9972583651542664,0.08733325836582687,0.04566046847203091,0.005360322369013467,0.999522864818573,0.9548634367008996,0.9136255205613224,0.8158563638819258,0.9974533319473267,liver_102
0.958751401638917,0.9207708928966859,0.8632461476795374,0.998647153377533,3.2786885138403657e-09,3.2786885138403657e-09,0.0,0.9998182058334351,0.961939204662182,0.9266694291739065,0.8842572338959742,0.998744785785675,liver_114
0.937929088614685,0.8831134329738308,0.6236343257167982,0.9902967214584351,0.6208141960856574,0.4501309354739307,0.28786706071680157,0.9945181608200073,0.9484248527882031,0.9019087749489424,0.643992647526464,0.9911918640136719,liver_28
0.9467824252544637,0.8989428660882934,0.8003307917913217,0.9982678294181824,0.45180722966620046,0.2918287950268327,0.3664354913035683,0.9997613430023193,0.9524398111262464,0.9091981742374807,0.818366056332308,0.9984312653541565,liver_17
0.8027950341387802,0.6705577215575738,0.5761859102521636,0.9940720200538635,0.477014992145163,0.3132105632869648,0.3862910320325452,0.9949806928634644,0.8774718527810931,0.7816925169835018,0.5920094752073661,0.9951408505439758,liver_108
0.9347592326007762,0.8775098186345067,0.7427793585212701,0.9973528385162354,0.0028752185081218555,0.0014396803874469322,0.006284861340194838,0.999793291091919,0.9399489636352749,0.8867016128396373,0.7620867253814577,0.9975509643554688,liver_65
0.9226328624245639,0.8563773947129695,0.6640954277366202,0.9960042834281921,0.5132308668370245,0.34519876389608894,0.18913539747494934,0.99853515625,0.9168901389044875,0.8465347531586238,0.6422522512123378,0.9954575896263123,liver_74
0.9267747824290766,0.8635417499129139,0.7455810085544531,0.9978625774383545,0.4164486408211669,0.2629839813005589,0.31138979596396654,0.998776912689209,0.9228670606584504,0.8567810220578033,0.7219165539070158,0.9975868463516235,liver_88
